trade_id,phase,symbol,period,signal_time,entry_time,trigger_type,signal_close,entry,stop,target,exit_time,exit_reason,r_after_cost,bb_pos,bb_width_atr,macd_hist_slope3,signal_recovery_bars,v_move_atr,v_drop_speed_atr_per_bar,max_recovery_to_drop,candidate,tv_signal_time,tv_entry_time,tv_match,tv_notes
39,A_BASE,USDJPY,Research_2015_2024,2019-02-04 00:00:00,2019-02-04 04:00:00,stagnation,109.615,109.615,108.44063080988602,111.96373838022797,2019-03-01 08:00:00,TP,1.9914847902310684,0.8778615557512903,5.740090880385347,0.031104921614399,10,5.52606839605255,0.9210113993420918,1.2,Strict_075_100_width7,,,,
50,A_BASE,USDJPY,Research_2015_2024,2020-03-18 12:00:00,2020-03-18 16:00:00,rebreak,108.432,108.433,104.92096105540575,115.45407788918848,2020-04-28 16:00:00,max_hold,-0.4518742602335683,0.9670097790978324,3.464352790449965,0.033087233544152,12,3.727132659248582,0.6211887765414303,1.2,Strict_075_100_width7,,,,
72,A_BASE,USDJPY,Research_2015_2024,2022-02-08 04:00:00,2022-02-08 08:00:00,rebreak,115.481,115.481,114.09334482850603,118.25631034298787,2022-03-14 20:00:00,TP,1.992793598722927,0.9713535273153372,3.802713511792841,0.0223010228325385,23,6.773432854949135,0.3386716427474567,1.2,Strict_075_100_width7,,,,
80,A_BASE,USDJPY,Research_2015_2024,2022-10-06 12:00:00,2022-10-06 16:00:00,rebreak,144.944,144.944,143.42234782279587,147.98730435440822,2022-10-14 12:00:00,TP,1.993428195911128,0.8785003323856654,2.8073200763323487,0.0388909282054172,9,4.55387820859191,0.41398892805381,1.2,Strict_075_100_width7,,,,
84,A_BASE,USDJPY,Research_2015_2024,2023-05-15 00:00:00,2023-05-15 04:00:00,stagnation,136.13,136.127,133.6425772996745,141.10484540065096,2023-06-15 04:00:00,TP,1.9995974920049224,0.9904147619171046,6.163858939166212,0.0433847788039328,10,4.296837254938276,0.5371046568672845,1.2,Strict_075_100_width7,,,,
86,A_BASE,USDJPY,Research_2015_2024,2023-09-25 08:00:00,2023-09-25 12:00:00,stagnation,148.673,148.676,147.248185139051,151.522629721898,2023-10-31 12:00:00,TP,1.9866929526231991,0.905426847020549,4.665581790845563,0.0060376957627986,12,4.0175183031842785,1.339172767728093,1.2,Strict_075_100_width7,,,,
90,A_BASE,USDJPY,Research_2015_2024,2024-04-08 00:00:00,2024-04-08 04:00:00,stagnation+rebreak,151.767,151.769,150.7554314840508,153.79013703189838,2024-04-15 04:00:00,TP,1.9842141900145391,0.7751780187529389,3.194081033262759,0.0313870753563523,7,5.236536032351582,0.5818373369279536,1.2,Strict_075_100_width7,,,,
94,A_BASE,USDJPY,Research_2015_2024,2024-05-20 12:00:00,2024-05-20 16:00:00,rebreak,156.094,156.094,153.50335625400072,161.27528749199854,2024-06-28 00:00:00,TP,1.9961399555552808,0.8197893199486714,6.146736810098542,0.0082710559312311,16,8.413128533668704,0.9347920592965228,1.2,Strict_075_100_width7,,,,
5,A_BASE,XAUUSD,Research_2015_2024,2015-07-27 04:00:00,2015-07-27 08:00:00,stagnation+rebreak,1103.809,1103.801,1075.3252106157,1160.7765787686,2015-08-21 00:00:00,TP,1.9885516782133612,0.8689075172555392,3.699599048682231,0.975073120891107,8,3.782627603358024,0.7565255206716048,1.2,Strict_075_100_width7,,,,
9,A_BASE,XAUUSD,Research_2015_2024,2016-02-24 08:00:00,2016-02-24 12:00:00,rebreak,1237.091,1236.848,1199.5725868199168,1312.1278263601662,2016-04-06 12:00:00,max_hold,-0.2799700689991615,0.9254309086437584,4.0563485042204634,0.62336312150444,12,4.134156592182253,0.4134156592182253,1.2,Strict_075_100_width7,,,,
23,A_BASE,XAUUSD,Research_2015_2024,2017-05-26 04:00:00,2017-05-26 08:00:00,rebreak,1261.302,1261.311,1246.8668448852543,1290.1723102294911,2017-06-06 08:00:00,TP,1.9738994771930056,0.8611589083590395,3.307905212714128,0.2470954299784022,12,3.634503442325443,0.5192147774750633,1.2,Strict_075_100_width7,,,,
25,A_BASE,XAUUSD,Research_2015_2024,2017-07-17 08:00:00,2017-07-17 12:00:00,rebreak,1234.409,1234.409,1203.8331099969655,1295.5607800060689,2017-08-18 08:00:00,TP,1.9885530723728595,0.9909041834228188,5.664214191711351,0.0188112426941169,32,6.081750724850528,0.4054500483233685,1.2,Strict_075_100_width7,,,,
31,A_BASE,XAUUSD,Research_2015_2024,2017-10-12 00:00:00,2017-10-12 04:00:00,rebreak,1294.919,1294.919,1259.4771196342615,1365.8027607314768,2017-11-22 04:00:00,max_hold,-0.3362688400562753,0.9065740157071768,4.397053486713233,0.1509797078855097,22,4.162815231274811,0.5946878901821159,1.2,Strict_075_100_width7,,,,
38,A_BASE,XAUUSD,Research_2015_2024,2018-12-03 04:00:00,2018-12-03 08:00:00,rebreak,1231.545,1231.558,1210.1698856794255,1274.2952286411492,2018-12-26 04:00:00,TP,1.9818123283722264,0.9959861398920786,4.874225209586383,0.6978681091544631,17,4.391438380211122,0.3378029523239325,1.2,Strict_075_100_width7,,,,
43,A_BASE,XAUUSD,Research_2015_2024,2019-05-05 20:00:00,2019-05-06 00:00:00,rebreak,1284.148,1284.158,1265.147857429406,1322.1482851411877,2019-06-03 16:00:00,TP,1.9800106706938685,0.9031728486571572,4.657971830201795,1.1641154889531855,9,5.011972722132012,1.0023945444264022,1.2,Strict_075_100_width7,,,,
54,A_BASE,XAUUSD,Research_2015_2024,2020-06-23 12:00:00,2020-06-23 16:00:00,rebreak,1766.168,1766.168,1701.8215412260852,1894.860917547829,2020-07-23 12:00:00,TP,1.994560695232198,0.917589175802933,5.960475385473558,0.0258721253266616,37,4.60072142942263,0.3539016484171253,1.2,Strict_075_100_width7,,,,
62,A_BASE,XAUUSD,Research_2015_2024,2021-01-20 00:00:00,2021-01-20 04:00:00,rebreak,1848.715,1848.715,1800.46226297388,1945.22047405224,2021-02-04 12:00:00,SL,-1.0072534745502764,0.7955783275818565,3.946160531986972,0.336779197774713,13,5.475639561616916,0.6844549452021145,1.2,Strict_075_100_width7,,,,
67,A_BASE,XAUUSD,Research_2015_2024,2021-07-02 08:00:00,2021-07-02 12:00:00,stagnation+rebreak,1785.778,1785.788,1748.581064096354,1860.171871807292,2021-08-08 20:00:00,SL,-1.0094068482528775,0.990262793043508,4.182480652019727,0.4516014025144561,17,4.618665988279987,0.5773332485349983,1.2,Strict_075_100_width7,,,,
97,A_BASE,XAUUSD,Research_2015_2024,2024-08-26 04:00:00,2024-08-26 08:00:00,stagnation+rebreak,2521.305,2521.305,2467.8708202725484,2628.1733594549028,2024-09-23 00:00:00,TP,1.9934498854144456,0.8878838901609288,3.917945099026859,1.196237910300909,11,5.367778850665489,0.447314904222124,1.2,Strict_075_100_width7,,,,
